LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
375734.0510265781,2,2,2,35,0,0,0,0,0,0,202340,232730,201842,292926,207035,143857,10223,7758,5499,23228,8694,22623,0
129991.7524979372,1,3,2,33,0,0,0,0,0,0,82854,30758,71270,40459,20256,27581,1641,4529,2438,2368,2139,2840,0
329547.72385027027,2,3,1,46,0,0,0,0,-1,-1,22364,110953,83326,-1745,36819,-1100,46691,3304,2992,4116,69833,1507,0
125413.49739529837,1,3,1,19,1,2,2,3,3,2,8453,17706,-170,8745,21243,7919,-1437,-1126,-228,98,-26,-475,0
129045.5797667582,2,1,2,39,-1,-1,0,0,0,0,25188,22259,10819,13928,8300,6869,855,1089,1948,764,3971,3100,1
271052.0609796105,2,2,1,36,-2,-2,-2,-2,-2,-2,17561,8032,17927,5110,38852,-4400,4804,13339,6869,1992,81428,27340,0
136240.2550370965,2,2,1,33,-1,-1,-1,-1,0,0,21474,73010,47096,78111,77011,110493,82856,36719,4983,3639,92976,63375,0
23664.521741769502,1,3,3,39,1,2,2,2,0,0,3898,15847,16354,13137,29703,15832,-1492,1583,-686,612,1778,1218,1
346771.61744504253,2,1,2,23,0,0,0,-1,-1,-1,14577,30806,36060,1251,3472,235,-436,10429,2414,3148,3625,975,0
473647.49030634214,1,3,2,46,0,0,0,0,0,0,115059,29649,20808,41614,42756,10180,10837,2128,3403,1906,18499,2553,0
122313.7210012737,2,2,2,28,-1,-1,-1,-1,-1,-1,-856,938,353,271,832,-745,324,-163,220,2965,312,2050,0
17602.751193289096,1,2,2,24,0,0,0,0,0,0,9317,13653,12640,8732,-4063,11016,-92,1154,-65,56,1655,280,0
359944.32465183723,2,5,2,28,0,0,0,0,0,0,284793,580845,463793,199811,412099,370770,15101,17301,21169,12801,6640,21178,0
358113.99486221693,1,2,2,34,0,0,0,0,0,0,93551,179206,213381,180698,127581,165544,7475,11518,4711,8659,5518,7457,0
273624.103034983,2,5,1,46,-2,-2,-2,-2,-2,-2,1026,-365,-1205,774,48,7,6,50,614,-18,308,223,0
24921.58136350335,1,3,2,44,0,0,0,0,0,0,6943,18651,19790,10918,17571,21318,3378,895,-223,1399,904,167,0
337592.72595137235,2,2,2,36,0,0,0,0,0,0,62746,99330,84818,89100,105957,27485,4875,1487,716,1589,39,639,0
86928.83876113305,1,1,2,67,2,2,2,3,2,2,33934,46097,45938,46224,40698,1318,1321,469,-966,1821,2319,-20,1
383424.9414128307,1,2,2,41,1,2,0,0,0,0,35931,10672,34999,19285,26113,38680,-1028,190,10520,1834,791,1275,1
54181.490725568736,2,2,2,23,-2,-2,-2,-2,-2,-2,1999,-510,-13,-742,-143,-278,-52,541,-120,91,-250,52,0
49113.276997797984,2,2,2,29,0,0,0,0,0,0,9812,21208,25152,43813,39880,43962,5676,15644,13202,2258,88,2052,0
108425.20043803242,2,1,2,28,0,0,0,0,0,-1,-2042,16536,58,6017,-358,1055,1817,1415,-79,542,409,85,0
128856.71255389688,2,3,1,46,0,0,0,0,0,0,161540,92110,113002,128930,98352,125638,5118,6127,5663,4340,3362,1113,0
44540.94628877149,1,3,3,24,2,2,3,0,0,0,-1568,2342,1283,7731,34253,4265,472,1664,1159,857,1779,1739,1
163137.49871931155,2,2,2,20,-2,-2,-2,-1,-2,-2,1198,10875,158,2239,-159,1449,1364,30,1206,41,963,274,0
49962.85065997242,2,1,2,40,0,0,0,0,0,0,26526,29715,34654,39090,16003,16709,6627,1104,492,4488,85,2631,0
72824.30738796855,1,1,2,37,0,2,0,2,0,0,80597,72226,38252,55123,26624,421,2277,570,-51,2007,1636,378,1
142671.5341491048,1,3,2,29,0,0,0,0,0,0,65509,53668,89046,38430,31982,79601,113678,2507,2146,94,9354,1697,0
337987.627154055,2,2,2,29,0,0,0,0,0,0,148335,102180,84128,69751,36434,67997,7657,178,11695,1445,2176,1221,0
199425.57432999654,1,2,1,41,-2,-2,-2,-2,-2,-2,17682,14810,6882,9436,7587,-13444,4078,20355,15345,36287,5057,6078,0
125182.91908157522,2,2,2,49,-1,0,0,-1,0,-1,2058,1676,17571,14430,2730,-179,22669,10510,7745,10748,3618,8617,0
122113.97058409965,2,1,2,33,0,0,0,0,0,0,88631,52559,121591,109276,73564,154640,2971,10999,3365,3755,66,102,0
124995.96777314786,1,3,2,41,0,0,0,0,0,0,172787,60376,106398,57712,108510,63629,81091,6506,374,6077,5300,1601,0
387313.39128066646,2,1,1,35,-1,-2,-1,-1,-1,-1,31727,26198,10827,10787,81970,-3028,100839,19215,165975,47829,6044,34156,0
129138.24360972909,1,3,1,41,0,0,0,2,0,0,59899,14021,10990,12002,10076,8429,1741,4087,-438,225,504,188,1
346437.5260456703,1,2,2,38,0,0,0,0,0,0,248609,315859,15630,232311,241640,196902,15558,20423,14439,12326,10189,-154,0
198495.56980998843,2,1,2,41,0,0,0,2,0,2,271234,502615,233491,309086,240905,318768,6543,8676,9011,4041,8098,11568,0
110735.99796736012,1,3,1,44,2,0,0,0,0,0,80965,184332,108360,112207,44799,80019,5020,2168,5004,3232,6803,7022,0
218982.96811935946,2,2,1,34,-2,-2,-1,-2,-1,-1,1522,4643,4382,40406,62447,-6566,51850,2341,170,6975,23908,2702,0
130901.48940628413,2,1,2,34,-1,-1,-1,-1,-1,-1,-1694,-540,1310,-101,1061,942,7864,582,105,10856,0,877,1
480589.898301602,1,1,2,34,-1,-1,-1,-1,-1,-1,636,-1347,11675,1731,13926,-6614,38684,10858,21585,13792,3520,15895,0
122050.93635644192,1,2,3,39,1,2,2,-1,0,0,-3435,2040,34136,8951,34398,-2038,-1493,1408,-134,2798,1490,3407,1
136088.7042305332,2,1,2,32,1,-1,-1,-1,-1,-2,3931,-1189,-348,-61,-367,7712,-653,-130,592,666,-108,-248,0
338939.5625495205,2,2,2,27,0,0,0,0,0,0,66,87320,13226,39280,34651,2889,59776,3869,1018,1535,1965,-236,0
125168.9059935852,1,2,2,24,-1,-1,-1,0,-1,-1,-118,-228,-150,8261,-285,1534,-247,-40,629,2369,48,-39,0
259898.4456506445,2,6,1,50,1,-2,-2,-2,-2,2,-2418,14007,1351,-289,26096,-1015,1267,5146,-784,-56,-294,105,1
100723.16594044286,2,2,2,22,1,2,0,0,0,0,7296,9891,15787,14500,7568,16269,-416,1286,2388,-135,109,803,0
124474.38278728173,2,2,2,22,1,-1,-1,0,0,0,-4424,11939,5504,6636,365,-1393,-301,1119,899,-6,-138,226,0
118681.87177704979,1,2,3,61,0,0,2,2,2,2,23178,59360,24942,36421,6530,33898,1901,1813,-378,301,597,1716,1
131017.2053994437,2,1,2,29,-1,0,0,0,0,0,-1510,3348,15466,21282,40456,-928,19145,5470,36926,1234,337,245,0
121859.74658600113,2,2,1,48,0,-1,2,0,0,0,30374,31563,11899,35045,6798,44041,3311,1063,-264,4613,25286,137,1
369210.56596930145,2,2,2,32,-2,-2,-1,0,0,-2,6164,11167,88494,7220,41103,-2802,4631,106691,177664,4511,31834,2942,0
153890.82663444197,2,3,2,32,-1,-1,-1,-1,0,0,1496,54009,3311,54086,53331,35102,78613,3888,35306,807,-34,1162,0
346314.6708954026,2,1,2,29,0,0,0,0,0,0,199340,171006,180417,242956,125100,202,6472,9258,6517,40137,3907,7455,0
280879.6221299026,1,1,1,24,-2,-2,-2,-2,-2,-2,-1988,-379,1033,-1140,-153,591,11,310,79,128,-301,804,0
335501.10284837894,2,2,2,27,0,0,0,0,0,0,346710,52646,52058,36938,40682,31987,39361,52502,1480,870,74270,75469,0
366833.41574816493,2,2,2,46,-1,-1,-1,-1,-1,-1,13240,10026,5243,34378,55558,-11367,62229,16285,25082,7426,28863,25866,0
110376.72589345538,1,3,1,48,1,2,2,0,0,0,114,1069,1153,943,12040,608,650,3,1160,413,1053,239,0
131109.5545347413,1,3,2,52,-1,-1,-1,-1,-1,-1,-1674,707,2434,1392,153,14,982,2778,2326,396,2507,405,0
139585.12367402462,2,3,2,45,-1,-1,-1,0,0,0,1879,-1524,175,1798,505,-181,-522,72,703,239,202,27,0
127677.71220878337,1,3,1,51,0,0,0,0,0,0,100686,155564,136138,145215,110659,156303,4921,802,1055,4419,2032,1041,0
52570.99829841875,1,5,1,34,-2,-2,-2,-2,-2,-2,-558,-1332,-193,-992,315,2863,-944,-324,-476,567,150,331,0
124517.99932723919,1,2,2,25,2,0,2,2,0,0,4544,23016,18567,24902,16984,22410,110,76,-177,-129,798,421,1
289312.7929343263,2,2,1,29,-2,-2,-2,-2,-2,-2,16375,4523,9428,10729,6865,-12690,50126,22565,10705,4832,6500,13126,0
68605.99855549788,1,2,3,41,0,0,0,0,0,0,50309,65814,69824,88514,17023,44048,3033,1397,933,1965,3744,295,0
350217.5569526182,1,3,1,35,0,0,0,0,0,0,126118,294337,74669,113632,95245,81775,15697,1098,2848,6613,100927,3277,0
486842.7480031237,2,2,2,30,-1,-1,0,-1,0,-1,13994,10552,1960,11488,51636,-100832,19546,11226,12071,3753,39981,19060,0
120260.64588313496,1,1,2,42,1,2,2,2,0,2,50223,66038,207923,99801,74565,118504,5760,9825,6,7533,-265,1928,0
44604.08108052956,2,1,3,50,3,2,2,3,4,2,25977,24781,24188,35204,44903,29306,787,319,1356,1267,2979,217,1
451071.69046857196,1,5,2,37,1,2,0,0,0,0,344955,182068,203902,95885,86615,67934,3261,15475,5761,16774,3094,2490,1
25591.133720571364,1,1,2,39,0,-1,-2,-2,-2,-2,10309,455,5933,323,340,-1446,110,119,48,194,-19,51,0
335672.3375442501,2,2,2,27,0,0,0,0,0,0,179148,185815,147528,144904,201902,105137,60484,65589,5403,7250,54944,87426,0
135109.91963638624,2,1,2,29,0,0,-1,0,0,-1,13446,13708,47065,507,34358,1506,1694,4598,3800,674,2271,-579,0
146937.10045432468,2,2,2,38,-2,-2,-1,-2,-1,-1,455,2243,284,7,1120,1103,613,136,271,2583,738,2565,0
120576.85308991573,2,1,2,45,-1,-1,-1,-1,-1,-1,-1550,-44,2885,2087,438,581,1077,3193,-272,2598,104,-228,1
48647.35842186424,1,2,3,39,-2,-2,3,-2,0,0,37371,26061,22483,6203,35488,5493,951,909,525,77797,-62,1278,0
123450.91306738398,2,3,2,43,-1,-1,0,0,-1,-1,3653,-2461,6881,897,3808,-117,1911,556,452,19442,111,309,0
19728.0970488614,2,1,2,48,2,2,0,0,-2,-2,199,903,165,-7,9543,76,139,-578,-679,265,168,57,0
266702.17353117955,1,1,2,46,-2,-2,-2,-2,-2,-2,-145,1658,-6408,-1145,14207,77548,823,22556,-497,7779,2544,556,0
171594.66717752058,2,2,1,33,0,0,0,0,0,0,76112,200993,117867,108191,154258,101915,7256,2703,4512,4629,-152,347,0
156548.2092575524,2,3,1,45,-1,-1,-1,-1,-1,-1,7521,28284,11763,12443,53669,96,67017,3894,25927,-67,19049,25880,0
355091.0803009315,2,1,2,35,-2,-2,0,-1,0,0,10415,1551,91471,66931,121127,-3330,60265,11722,43637,110719,70864,7779,0
70805.15105681686,2,1,2,32,0,0,0,0,0,0,37700,41725,33900,45896,4510,26002,3056,814,580,2403,-10,152,0
341282.27910945256,2,2,1,27,0,0,0,0,0,0,136797,302371,146546,198124,115566,193625,8153,7400,16737,6944,13314,28297,0
159703.65826126156,2,2,2,46,-2,-2,-2,-2,-2,-1,1525,3773,65694,1730,14451,-6904,629,1700,3196,10127,2447,3083,0
49271.15576225642,2,1,2,25,0,0,0,0,0,0,41518,21017,44010,32204,33830,20205,2134,2145,6624,1251,-404,147,0
126281.28025742996,1,2,2,34,-1,0,-1,0,0,0,148585,1678,13471,52568,72257,25153,3250,9528,2611,2600,1321,247,0
128196.83036490624,2,1,2,24,-1,-1,-1,-1,-1,-1,-1088,-1686,622,258,-54,-449,-410,386,72,213,-33,-300,0
482438.52274196246,2,3,1,39,-1,-1,-1,-1,-1,-1,12385,476,3810,5642,9629,3795,69738,19481,4282,6861,8815,21622,0
114498.04189998475,2,1,2,35,1,2,0,0,0,0,-2342,16614,35758,25992,16592,40045,33633,11595,16077,7061,3245,2555,0
12928.67258518372,1,3,2,44,1,2,2,0,0,0,-1335,-107,1778,-647,7297,10135,-170,188,1848,339,495,-67,0
144040.5964375757,2,3,1,53,-1,-1,-1,-1,-1,-1,12410,-2440,3433,1300,1702,-142,1936,47888,526,4242,16,3888,0
125608.78808330628,1,4,2,44,2,2,2,2,0,2,27445,92227,38749,108744,44950,74987,3632,486,3180,4317,-9,2137,1
147959.30312076342,1,3,1,55,-1,0,-1,-1,-1,-1,522,-2891,323,2139,710,-526,1361,1285,1209,2393,11596,1569,0
158402.05274028733,2,1,2,23,-2,-2,-1,-1,-2,-1,1939,4101,6485,2152,602,867,10416,454,-36,1066,1782,10934,0
219749.0328716615,2,3,3,34,-2,-2,-2,-2,0,0,15157,79374,93229,112695,46659,-1556,34977,8759,5960,4524,110194,-529,0
142337.4039291909,1,2,2,36,-1,0,-1,0,0,-1,303,6531,9131,9512,-373,-1317,1080,772,1772,94,6913,9587,0
335105.5037555549,1,2,2,32,0,0,0,-2,0,-2,44624,19996,67770,-1138,45124,12787,21259,520,1657,3423,2051,1799,0
350055.25511812896,2,3,2,52,0,0,0,0,0,0,398338,9615,16212,333859,186409,201546,20672,19403,8846,6338,9196,23290,0
48695.66585709157,2,3,2,43,0,0,0,0,0,0,39787,41196,20263,21742,44383,15758,1144,8145,1152,530,20075,2366,0
