LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
520033.56530415814,2,2,2,30,-2,-2,-2,-2,-2,-2,-267,905,-1119,498,8,-287,330,-459,2503,109,3241,449,0
92593.22975086738,2,2,2,22,-1,0,-1,0,0,0,2035,1459,112,12584,544,160564,1522,961,3895,623,350,2587,0
246365.28680808702,2,5,1,29,0,0,0,0,0,0,292073,251113,283537,216670,160116,218758,9396,24039,2664,4431,8757,7703,0
88004.70949681812,2,2,1,48,0,0,0,0,0,0,38961,7293,68078,26217,15629,34862,3601,1308,782,2942,2069,2,0
176554.72622743424,2,2,1,34,0,0,0,0,2,0,80792,144141,101346,39401,75214,19274,5529,1449,5474,4692,4441,1259,0
29036.11704371454,1,2,2,57,1,0,0,0,0,-2,8661,14638,8524,5291,7654,15903,1546,341,562,41,-78,4562,0
493038.289051742,1,1,2,58,-2,-2,-2,-2,-2,-2,33116,29188,20103,17430,27895,14663,21356,628,2692,572,11,158,0
127284.44980843677,2,2,1,34,2,0,0,0,0,0,55844,29387,60991,30426,26584,34055,5256,1703,1427,3298,2655,1478,1
204218.58621519944,1,1,3,36,2,2,2,3,2,2,220683,133520,48568,93310,46448,60956,3263,1367,324,3891,-107,1939,1
110708.98456080031,1,1,3,24,1,-1,-1,-1,-1,0,1341,2292,2425,6774,718,203,958,1677,3103,81,159,331,0
102154.48284331281,2,2,2,35,0,0,0,0,0,0,76901,32008,40008,84349,53359,32174,4679,7707,1468,4767,3064,1931,0
115297.90540638726,2,2,1,42,2,2,2,2,2,2,228496,61135,85131,122799,22001,67949,6113,1319,1416,220,2601,-86,1
113724.5701510354,2,1,2,28,0,0,0,0,-1,-2,-420,34226,14421,19734,2562,1125,4264,167,308,1910,-11,-460,1
532229.1829143327,2,1,1,39,-2,-2,-2,-2,-2,-2,451,1386,12623,50955,24015,241480,-221,6517,8745,12476,3978,8595,0
506966.1227935248,2,2,2,25,-1,-1,-1,-1,-1,-1,1904,362,3877,11088,8043,4332,7235,5590,664,18115,5020,3303,0
546099.0299567151,2,1,1,43,-2,-2,-2,-2,-2,-2,478,-515,2249,188,873,-854,7218,1379,519,690,76,-160,1
524426.923406032,1,1,2,28,-2,-2,-2,-2,2,-2,-84,985,33429,1044,-213,1074,-196,288,3264,154,163,347,1
41195.31742688436,1,1,3,32,1,0,0,0,2,0,23210,25448,9316,32969,17870,21841,1941,1661,2316,507,655,4425,0
115488.78594174917,2,3,1,31,0,0,0,0,0,0,173622,17013,43921,9410,93463,48195,2718,-782,-589,4110,2211,1373,0
102191.22890077173,2,2,2,35,1,0,0,0,0,0,15718,12618,11116,583,23841,2754,1316,2475,635,5765,672,-121,0
80263.01400484041,2,2,3,23,-1,-1,-1,0,0,0,16913,11034,1152,7561,1648,218,217,1110,844,286,-38,6,1
150225.495883188,2,2,1,32,2,0,2,2,2,2,200441,195781,108169,136152,107440,103252,5020,8690,307,7569,-56,570,0
44225.17841420624,1,2,2,43,3,2,2,3,0,2,21848,17275,12710,32504,10552,17086,411,557,847,206,288,224,1
58641.18678872308,2,2,2,24,0,0,0,0,-1,-1,19192,19425,16512,10417,314,17399,2487,1598,2457,382,229,36,0
507329.1226035042,2,2,2,29,-1,-1,-1,-1,-1,-1,-2620,8800,13339,2112,1230,-231,13111,63,1296,2497,409,278,0
50785.134882711514,2,2,2,53,3,4,4,2,2,2,19986,18240,25824,48350,12380,22513,747,309,287,2830,92,284,0
76841.72844658661,1,2,2,40,0,0,0,0,0,0,48060,31572,2459,20661,12513,23412,3133,1444,1276,4668,1431,2873,0
223243.88816420682,2,1,2,28,-2,-1,-2,-2,-1,-1,-2127,9076,1306,693,3117,-1777,13576,29383,952,3510,369,19439,0
172648.9333979525,1,1,1,34,0,0,0,0,0,0,40987,36902,90060,35693,106077,81803,1764,1768,-431,2891,2044,2950,0
99516.97750044864,2,1,2,45,0,0,0,0,0,0,76306,71451,245766,72340,21105,71513,1720,11579,1010,6132,3673,435,0
41109.70036928114,2,2,1,34,0,0,0,0,0,0,15349,28634,11695,33718,12120,11598,10206,1335,2736,644,848,311,0
153716.0242325886,2,2,1,26,0,0,0,0,0,0,312427,146068,302411,307069,212004,172442,7850,9488,9732,7240,4276,4535,0
509425.6238568545,2,2,3,28,-1,-1,-1,-1,-1,-1,863,1184,-449,703,1221,1313,4199,-437,427,174,332,208,0
209221.95361958994,2,1,1,36,-1,-1,-1,-1,-1,-1,-606,345,7426,4768,-1255,-883,1201,10537,67998,83775,3074,134561,0
192735.57449294368,2,2,2,37,0,0,0,0,2,-2,22638,6463,5315,18781,1907,15996,3472,989,2120,-19,-147,205,0
529361.6689310874,1,1,3,24,1,-1,-2,-1,-1,-1,253,707,-838,1463,1198,436,-65,218,4287,262,345,49,0
